Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;10;0;[];2n+1;21;27;42;2,89E-18;"[ 2.21466572e-18  1.34450926e-18  4.66645559e-18  2.17272837e-18
 -3.40814114e-18  2.05779587e-17  2.69112969e-18 -3.92530194e-18
  1.76307631e-18 -2.07293979e-19]"
FullyDetQuadInterpol;10;0;[];0.5(n+1)(n+2);66;27;87;2,12E-13;"[-2.22006930e-15  2.88062101e-15  2.94233541e-15 -8.88360681e-17
  2.53952335e-15  3.21685289e-15 -3.01496252e-15  4.99915250e-17
 -4.93197486e-16 -6.24369881e-16]"
FullyDetLinearInterpol;10;0;[];n+1;11;475;554;6,13E+02;"[ 7.72007636e-07 -2.38953631e-08  7.17843963e-09 -2.06514919e-08
  2.64809812e-08  2.68324012e-08 -2.24492888e-08 -9.50726794e-09
  1.27337686e-08  7.34761056e-09]"
;;;;;;;;;
Trafo Version1;10;5;[2, 4, 5, 6, 8];m_default;16;160;246;1,17E+01;"[ 2.41149904e-08  3.76260959e-09  2.77256052e-21  2.46319421e-09
 -3.92464235e-22 -9.07910172e-22 -1.31129930e-22 -8.15783381e-09
  2.28051613e-22  6.46369358e-10]"
Trafo Version1;10;5;[0, 1, 6, 7, 8];m_default;16;101;153;5,88E-03;"[ 5.54340161e-21  5.95821986e-21  8.56022947e-10 -7.17040026e-10
 -8.41119475e-11 -1.70019444e-10  3.98958754e-23 -4.10941897e-22
  3.64173317e-22 -3.76097728e-10]"
Trafo Version1;10;5;[0, 1, 5, 7, 8];m_default;16;113;181;1,22E+00;"[-1.21299030e-19  2.48658928e-19  2.08600689e-09  1.28700184e-09
 -1.54436110e-09 -9.06174389e-20 -3.58448664e-09 -2.46616133e-19
  4.75458316e-20 -2.16435484e-10]"
Trafo Version1;10;7;[0, 2, 4, 5, 6, 8, 9];m_default;14;38;52;1,96E-13;"[ 4.30575159e-15  5.26950704e-17 -3.84608290e-16  2.99821845e-17
 -2.52375104e-16 -1.38411428e-16 -4.30604281e-17  7.57617678e-17
  1.07798214e-16 -1.81026443e-18]"
Trafo Version1;10;7;[0, 1, 2, 3, 5, 6, 8];m_default;14;46;65;2,84E-11;"[ 7.11764352e-15 -3.35484936e-14  2.99741337e-15  1.05606704e-14
 -4.25821700e-17  2.70514952e-15  1.58824129e-15  1.16774380e-16
 -4.90450667e-17 -4.68451152e-16]"
Trafo Version1;10;7;[0, 1, 3, 4, 5, 6, 7];m_default;14;44;61;6,87E-15;"[ 1.42203795e-17  1.72727985e-17  1.46840198e-15  1.54412769e-16
  3.56339698e-17  1.16699081e-17 -2.03151804e-16 -5.37999754e-18
  2.04154823e-17  2.99890650e-17]"
Trafo Version1;10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];m_default;11;27;32;3,24E-18;"[-9.20315467e-20 -2.75153558e-17 -3.26484940e-18 -8.04786898e-18
 -8.82785451e-18 -6.56442351e-18  2.37673155e-20  6.31078469e-19
 -9.29312772e-18  4.19731269e-19]"
;;;;;;;;;
Trafo Version4;10;5;[2, 4, 5, 6, 8];m_default;21;27;42;5,39E-11;"[ 1.55725243e-13 -6.29987267e-14  4.11386156e-17  6.07793501e-14
  3.11634549e-17 -3.76217746e-17 -3.84970072e-18  4.80123125e-16
 -7.02195551e-18  2.64130060e-14]"
Trafo Version4;10;5;[0, 1, 6, 7, 8];m_default;21;27;42;1,61E-12;"[ 6.63754500e-17 -1.21563617e-16  3.70755531e-15  1.36414508e-14
 -3.51003164e-15 -3.48093978e-15 -6.59452322e-17 -4.79224802e-17
 -3.81030840e-17  8.28643620e-15]"
