Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ00_Test_2dRosenbrock;[1.2 2. ];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;105;126;1,11E-02;[1. 1.]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;82;89;1,98E-07;[1. 1.]
FullyDetLinearInterpol;2;0;[];n+1;3;1576;fail;0.0013549261822435698;[1.03680854 1.07499599]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;76;84;2,43E-09;[1. 1.]
Trafo Version1;2;1;[0];m_default;4;61;67;6,16E-14;[1. 1.]
Trafo Version1;2;1;[1];m_default;4;42;43;1,41E-15;[1. 1.]
Trafo Version1;2;2;[0, 1];m_default;3;42;40;1,95E-12;[1. 1.]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;117;142;2,10E-06;[1. 1.]
Trafo Version4;2;1;[0];m_default;5;90;113;2,82E-04;[1. 1.]
Trafo Version4;2;1;[1];m_default;5;175;201;1,62E-08;[1. 1.]
Trafo Version4;2;2;[0, 1];m_default;5;101;108;1,31E-02;[1. 1.]
;;;;;;;;;
SQP (mixed);2;0;[];;;23;74;7,57E+06;[1.0000559  1.00010514]
SQP (mixed);2;1;[0];;;23;51;7,57E+06;[1.0000559  1.00010514]
SQP (mixed);2;1;[1];;;23;51;7,57E+06;[1.0000559  1.00010514]
SQP (mixed);2;2;[0, 1];;;23;28;7,57E+06;[1.0000559  1.00010514]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ01_Test_2d;[0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;30;30;-10.0;[1.         2.99999999]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;27;29;-10.000.000.000.000.000;[1.         3.00000001]
FullyDetLinearInterpol;2;0;[];n+1;3;52;63;-9.999.999.999.999.990;[0.99999997 2.99999996]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;29;31;-10.000.000.000.000.000;[1.         3.00000001]
Trafo Version1;2;1;[0];m_default;4;29;27;-10.0;[1. 3.]
Trafo Version1;2;1;[1];m_default;4;27;25;-10.0;[1. 3.]
Trafo Version1;2;2;[0, 1];m_default;3;27;24;-10.0;[1. 3.]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;29;30;-10.0;[1. 3.]
Trafo Version4;2;1;[0];m_default;5;29;28;-10.0;[1. 3.]
Trafo Version4;2;1;[1];m_default;5;27;27;-10.0;[0.99999998 3.        ]
Trafo Version4;2;2;[0, 1];m_default;5;29;28;-10.0;[1. 3.]
;;;;;;;;;
SQP (mixed);2;0;[];;;2;7;-9.999.999.999.999.990;[1. 3.]
SQP (mixed);2;1;[0];;;2;5;-9.999.999.999.999.990;[1. 3.]
SQP (mixed);2;1;[1];;;2;5;-10.000.000.000.000.000;[1. 3.]
SQP (mixed);2;2;[0, 1];;;2;3;-10.0;[1. 3.]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ07_Test;[1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;26;25;1,86E-34;[-1.34807760e-24  2.06270561e-25]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;26;26;1,46E-28;[1.19216122e-22 1.91208835e-23]
FullyDetLinearInterpol;2;0;[];n+1;3;67;75;1,16E-03;[-1.27601738e-10  3.40483360e-09]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;26;26;4,45E-25;[6.31884841e-21 2.14514539e-21]
Trafo Version1;2;1;[0];m_default;4;26;24;2,29E-28;[-3.27153123e-22 -3.49412742e-22]
Trafo Version1;2;1;[1];m_default;4;26;24;1,32E-25;[3.12663369e-21 1.83945866e-21]
Trafo Version1;2;2;[0, 1];m_default;3;26;23;4,52E-31;[-2.52035537e-25  6.71706364e-24]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;26;25;1,54E-33;[-3.29539543e-25 -2.13417640e-25]
Trafo Version4;2;1;[0];m_default;5;26;25;3,46E-34;[ 2.84601293e-27 -5.88471303e-25]
Trafo Version4;2;1;[1];m_default;5;26;25;6,63E-35;[-2.57433712e-25  7.24489855e-27]
Trafo Version4;2;2;[0, 1];m_default;5;26;25;3,78E-34;[5.96258740e-25 1.50573036e-25]
;;;;;;;;;
SQP (mixed);2;0;[];;;2;7;0.0;[0. 0.]
SQP (mixed);2;1;[0];;;2;5;8,87E-16;[-6.66133815e-16  6.66133815e-16]
SQP (mixed);2;1;[1];;;2;5;8,87E-16;[ 6.66133815e-16 -6.66133815e-16]
SQP (mixed);2;2;[0, 1];;;2;3;0.0;[0. 0.]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ12_Test;[0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;49;51;2,84E-07;[1. 3.]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;27;27;3,94E-15;[1. 3.]
FullyDetLinearInterpol;2;0;[];n+1;3;91;103;2,85E-01;[1.         2.99999999]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;27;27;0.0;[1. 3.]
Trafo Version1;2;1;[0];m_default;4;28;26;1,93E-13;[1. 3.]
Trafo Version1;2;1;[1];m_default;4;28;26;7,89E-16;[1. 3.]
Trafo Version1;2;2;[0, 1];m_default;3;27;24;7,89E-16;[1. 3.]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;49;51;2,84E-08;[1. 3.]
Trafo Version4;2;1;[0];m_default;5;38;39;3,71E-08;[1. 3.]
Trafo Version4;2;1;[1];m_default;5;35;36;1,68E-10;[1. 3.]
Trafo Version4;2;2;[0, 1];m_default;5;54;53;5,58E-08;[1. 3.]
;;;;;;;;;
SQP (mixed);2;0;[];;;3;11;1,03E-13;[1. 3.]
SQP (mixed);2;1;[0];;;3;8;0.0;[1. 3.]
SQP (mixed);2;1;[1];;;3;8;1,42E-13;[1. 3.]
SQP (mixed);2;2;[0, 1];;;3;5;7,89E-16;[1. 3.]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ13_Test;[1. 2.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;28;27;3.0;[-9.32587341e-15  0.00000000e+00]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;29;29;3.0;[-7.10542736e-15  4.44089210e-16]
FullyDetLinearInterpol;2;0;[];n+1;3;59;68;3.0;[-8.68061595e-09 -6.74458380e-09]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;27;28;3.0;[ 7.43849426e-15 -2.66453526e-15]
Trafo Version1;2;1;[0];m_default;4;27;25;3.0;[ 3.88578059e-15 -4.88498131e-15]
Trafo Version1;2;1;[1];m_default;4;26;24;3.0;[-2.48689958e-14 -4.44089210e-16]
Trafo Version1;2;2;[0, 1];m_default;3;26;23;3.0;[ 0.0000000e+00 -4.4408921e-16]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;28;27;3.0;[-4.44089210e-16 -3.55271368e-15]
Trafo Version4;2;1;[0];m_default;5;27;26;3.0;[8.88178420e-16 1.22124533e-14]
Trafo Version4;2;1;[1];m_default;5;28;27;3.0;[-2.88657986e-15  6.66133815e-16]
Trafo Version4;2;2;[0, 1];m_default;5;28;27;3.0;[6.66133815e-16 4.44089210e-16]
;;;;;;;;;
SQP (mixed);2;0;[];;;3;11;3.0;[9.43689571e-16 3.78863607e-15]
SQP (mixed);2;1;[0];;;3;8;3.0;[8.8817842e-16 3.5249581e-15]
SQP (mixed);2;1;[1];;;3;8;3.0;[-8.32667268e-16 -2.01921813e-15]
SQP (mixed);2;2;[0, 1];;;3;5;3.0;[0.00000000e+00 9.02056208e-17]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ15_Test;[0. 0.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;51;55;7,90E-09;[3. 2.]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;41;45;1,58E-12;[3. 2.]
